nSim,OptionPrice
100,9.76305
200,10.3149
300,10.0366
400,10.0308
500,10.1333
600,10.2025
700,10.1514
800,10.1839
900,10.2012
1000,10.1777
1100,10.125
1200,10.2296
1300,10.3391
1400,10.3373
1500,10.3654
1600,10.2429
1700,10.1741
1800,10.2147
1900,10.3969
2000,10.3552
2100,10.3034
2200,10.3159
2300,10.3798
2400,10.3423
2500,10.2831
2600,10.3179
2700,10.298
2800,10.2359
2900,10.2402
3000,10.2218
3100,10.2029
3200,10.2146
3300,10.1932
3400,10.1945
3500,10.2321
3600,10.3634
3700,10.4051
3800,10.4264
3900,10.3755
4000,10.3283
4100,10.3483
4200,10.3174
4300,10.3114
4400,10.2782
4500,10.2929
4600,10.3085
4700,10.2989
4800,10.2622
4900,10.2557
5000,10.2406
5100,10.2855
5200,10.2304
5300,10.2119
5400,10.1872
5500,10.1772
5600,10.1799
5700,10.1529
5800,10.1489
5900,10.1349
6000,10.155
6100,10.1443
6200,10.1392
6300,10.1108
6400,10.12
6500,10.1035
6600,10.0817
6700,10.0555
6800,10.0454
6900,10.0612
7000,10.0601
7100,10.0871
7200,10.1254
7300,10.1245
7400,10.124
7500,10.1559
7600,10.2137
7700,10.2078
7800,10.2208
7900,10.2148
8000,10.2262
8100,10.2419
8200,10.2242
8300,10.2178
8400,10.2295
8500,10.2419
8600,10.2393
8700,10.212
8800,10.1912
8900,10.1698
9000,10.1468
9100,10.1492
9200,10.1519
9300,10.1593
9400,10.1606
9500,10.1492
9600,10.1464
9700,10.1246
9800,10.1309
9900,10.1155
10000,10.1305
